city,country,city_id,date,latitude,longitude,cloudiness,description,temperature,feels_like,temp_min,temp_max,humidity,visbility,windspeed
Comodoro Rivadavia,AR,3860443,1648789965,-45.8667,-67.5,0,clear sky,57.06,55.0,57.06,57.06,54,10000,8.05
Staroaleyskoye,RU,1491006,1648790174,51.0061,82.0,100,overcast clouds,35.89,31.64,35.89,35.89,87,10000,5.01
Onega,RU,515246,1648790174,63.9061,38.1404,89,overcast clouds,11.62,4.41,11.62,11.62,97,10000,4.09
Palestrina,IT,6536957,1648790175,41.8355,12.889,100,overcast clouds,48.04,47.46,46.56,51.93,96,10000,3.0
Aranos,NA,3358666,1648790175,-24.1333,19.1167,2,clear sky,69.22,69.19,69.22,69.22,71,10000,7.02
Arinos,BR,3471522,1648790176,-15.9169,-46.1056,17,few clouds,69.08,68.27,69.08,69.08,55,10000,1.36
Charters Towers,AU,2171722,1648790176,-20.1,146.2667,2,clear sky,92.5,89.31,92.5,92.5,23,10000,0.94
Dali,CN,1814093,1648790177,25.7,100.1833,94,overcast clouds,58.82,58.12,58.82,58.82,79,10000,5.12
Lieksa,FI,648090,1648790180,63.3167,30.0167,25,scattered clouds,9.14,9.14,9.14,9.14,94,10000,0.36
Altay,CN,1529651,1648790181,47.8667,88.1167,23,few clouds,43.47,41.67,43.47,43.47,58,10000,3.62
‘Ewa Beach,US,5855051,1648790181,21.3156,-158.0072,40,scattered clouds,74.05,74.59,70.59,75.15,73,10000,10.36
Maceió,BR,3395981,1648789986,-9.6658,-35.7353,75,broken clouds,74.64,76.23,74.64,74.64,94,10000,2.3
Diffa,NE,2445704,1648790182,13.3154,12.6113,3,clear sky,74.8,72.32,74.8,74.8,7,10000,9.57
Lagunas,PE,3695844,1648790182,-5.2269,-75.6753,100,overcast clouds,73.22,74.89,73.22,73.22,99,10000,4.43
Tual,ID,1623197,1648790182,-5.6667,132.75,16,few clouds,82.81,87.76,82.81,82.81,69,10000,6.89
Doha,QA,290030,1648790117,25.2867,51.5333,0,clear sky,79.83,79.83,73.71,80.58,25,10000,4.61
Shuyskoye,RU,493201,1648790183,59.3736,41.0305,39,scattered clouds,21.7,21.7,21.7,21.7,87,10000,2.75
Esperance,AU,2071860,1648789753,-33.8667,121.9,24,few clouds,77.22,76.98,77.22,77.22,50,10000,12.86
Iralaya,HN,3608828,1648790183,15.0,-83.2333,6,clear sky,78.87,78.87,78.87,78.87,81,10000,11.5
San Quintín,MX,3984997,1648790184,30.4833,-115.95,75,broken clouds,58.51,57.36,58.51,58.51,70,10000,11.45
Kavaratti,IN,1267390,1648790184,10.5669,72.642,90,overcast clouds,83.34,89.96,83.34,83.34,73,10000,6.67
Prachatice,CZ,3067713,1648790185,49.0129,13.9975,100,light snow,33.37,28.63,30.76,37.18,99,22,5.06
Verkhneyarkeyevo,RU,475438,1648790185,55.4505,54.3145,100,light snow,29.3,21.13,29.3,29.3,97,131,8.7
Itarema,BR,3393692,1648790185,-2.9248,-39.9167,99,overcast clouds,75.78,77.2,75.78,75.78,88,10000,5.88
Copiapó,CL,3893656,1648790186,-27.3667,-70.3333,0,clear sky,63.43,62.56,63.43,63.43,66,10000,0.51
Aguachica,CO,3690465,1648790186,8.3084,-73.6166,54,broken clouds,76.69,77.97,76.69,76.69,83,10000,2.71
Baruun-Urt,MN,2032614,1648790187,46.6806,113.2792,81,broken clouds,43.88,39.79,43.88,43.88,20,10000,7.05
Annau,TM,162199,1648790187,37.8876,58.516,40,scattered clouds,65.7,63.81,65.7,65.7,39,10000,4.61
Ajdabiya,LY,89113,1648790188,30.7554,20.2263,100,overcast clouds,66.49,65.52,66.49,66.49,57,10000,14.63
Marfino,RU,529368,1648790188,55.7028,37.3822,100,overcast clouds,31.91,23.04,30.16,32.34,80,6000,11.18
